season,Match_date,city,team1,team2,winner,toss_winner,toss_decision,win_by_runs,win_by_wickets
2005,2005/02/17,Auckland,New Zealand , Australia, Australia, Australia,bat,44,
2005,2005/06/13,Southampton,England, Australia,England,England,bat,100,
2005,2005/10/21,Johannesburg,South Africa,New Zealand,New Zealand,New Zealand,bat,,5
2006,2006/01/09,Brisbane,Australia , South Africa,Australia ,Australia ,bat,95,
2006,2006/02/16,Auckland,New Zealand , West Indies,,New Zealand ,bat,-,-
2006,2006/02/24,Johannesburg,South Africa , Australia,South Africa ,South Africa ,bat,2,
2006,2006/06/15,Southampton,England , Sri Lanka, Sri Lanka, Sri Lanka,bat,2,
2006,2006/08/28,Bristol,England , Pakistan, Pakistan,England ,bat,,5
2006,2006/11/28,Khulna,Bangladesh , Zimbabwe,Bangladesh , Zimbabwe,field,43,
2006,2006/12/01,Johannesburg,South Africa, India, India,South Africa,bat,,6
2006,2006/12/22,Wellington,New Zealand , Sri Lanka, Sri Lanka,New Zealand ,bat,18,
2006,2006/12/26,Auckland,New Zealand , Sri Lanka,New Zealand ,New Zealand ,field,,5
2007,2007/01/09,Sydney,Australia , England,Australia ,Australia ,bat,77,
2007,2007/02/02,Johannesburg,South Africa,Pakistan,South Africa,South Africa,field,,
2007,2007/06/28,The Oval,England , West Indies, West Indies, West Indies,bat,15,
2007,2007/06/29,The Oval,England,West Indies,England,West Indies,bat,,5
2007,2007/09/01,Nairobi (Gym),Kenya , Bangladesh, Bangladesh, Bangladesh,field,,5
2007,2007/09/02,Nairobi (Gym), Pakistan,Bangladesh , Pakistan,Bangladesh ,field,30,
2007,2007/09/04,Nairobi (Gym),Kenya,Pakistan,Pakistan,Kenya,bat,,8
2007,2007/09/11,Johannesburg,South Africa,West Indies,South Africa,South Africa,field,,8
2007,2007/09/12,Cape Town,Australia ,Zimbabwe,Zimbabwe,Australia ,bat,,5
2007,2007/09/12,Durban,Kenya ,New Zealand,New Zealand,New Zealand,field,,9
2007,2007/09/12,Durban,Pakistan ,Scotland,Scotland,Scotland,field,51,
2007,2007/09/13,Johannesburg,Bangladesh , West Indies, West Indies, West Indies,bat,,6
2007,2007/09/13,Cape Town,England, Zimbabwe,England,England,bat,50,
2007,2007/09/13,Durban,India ,Scotland,,,,-,-
2007,2007/09/14,Cape Town,Australia,England,Australia,England,bat,,8
2007,2007/09/14,Durban,India ,Pakistan,,Pakistan,field,-,-
2007,2007/09/14,Johannesburg,Kenya, Sri Lanka, Sri Lanka,Kenya,field,172,
2007,2007/09/15,Johannesburg,New Zealand ,Sri Lanka,Sri Lanka,New Zealand ,bat,,7
2007,2007/09/15,Cape Town,South Africa, Bangladesh,South Africa,South Africa,field,,7
2007,2007/09/16,Cape Town,Australia ,Bangladesh,Australia ,Australia ,field,,9
2007,2007/09/16,Johannesburg,India ,New Zealand,New Zealand,India ,field,10,
2007,2007/09/16,Cape Town,South Africa ,England,South Africa ,England,field,19,
2007,2007/09/17,Johannesburg,Pakistan ,Sri Lanka,Sri Lanka,Sri Lanka,bat,33,
2007,2007/09/18,Johannesburg,Australia ,Pakistan,Pakistan,Pakistan,field,,6
2007,2007/09/18,Johannesburg,Bangladesh ,Sri Lanka,Sri Lanka,Bangladesh ,field,64,
2007,2007/09/18,Durban,England ,New Zealand,New Zealand,England ,field,5,
2007,2007/09/19,Durban,England ,India,India,India,field,18,
2007,2007/09/19,Durban,South Africa,New Zealand,South Africa,South Africa,field,,6
2007,2007/09/20,Cape Town,Australia ,Sri Lanka,Australia ,Australia ,field,,
2007,2007/09/20,Cape Town,Bangladesh ,Pakistan,Pakistan,Pakistan,field,,4
2007,2007/09/20,Durban,South Africa,India,India,India,bat,37,
2007,2007/09/22,Durban,Australia , India, India,Australia ,bat,15,
2007,2007/09/22,Cape Town,New Zealand , Pakistan, Pakistan,New Zealand ,bat,,6
2007,2007/09/24,Johannesburg,India, Pakistan,India,India,bat,5,
2007,2007/10/20,Mumbai (BS),India ,Australia,India ,Australia,bat,,7
2007,2007/11/23,Johannesburg,South Africa, New Zealand, New Zealand, New Zealand,field,,3
2007,2007/12/11,Perth,Australia , New Zealand,Australia ,Australia ,bat,54,
2007,2007/12/16,Port Elizabeth,South Africa, West Indies, West Indies, West Indies,bat,,5
2008,2008/01/18,Johannesburg,South Africa ,West Indies,South Africa ,South Africa ,field,,4
2008,2008/02/01,Melbourne,Australia ,India,Australia ,India,bat,,9
2008,2008/02/05,Auckland,New Zealand ,England,England,New Zealand ,bat,32,
2008,2008/02/07,Christchurch,New Zealand ,England,England,England,bat,50,
2008,2008/04/20,Karachi,Pakistan ,Bangladesh,Pakistan ,Pakistan ,bat,102,
2008,2008/06/13,Manchester,England ,New Zealand,England ,England ,field,,9
2008,2008/06/20,Bridgetown,West Indies , Australia,West Indies ,West Indies ,field,,7
2008,2008/08/02,Belfast,Canada ,Netherlands,Canada ,Netherlands,bat,,4
2008,2008/08/02,Belfast,Kenya , Netherlands, Netherlands,Kenya ,field,19,
2008,2008/08/03,Belfast,Canada, Kenya, Kenya,Canada,bat,,4
2008,2008/08/03,Belfast,Ireland ,Bermuda,Ireland ,Ireland ,field,4,
2008,2008/08/04,Belfast,Ireland ,Kenya,Kenya,Kenya,bat,,4
2008,2008/08/04,Belfast,Netherlands ,Scotland,Netherlands ,Netherlands ,field,,5
2008,2008/08/05,Belfast,Bermuda , Canada, Canada, Canada,field,,8
2008,2008/08/05,Belfast,Ireland ,Netherlands,,,,-,-
2008,2008/08/20,Chester-le-Street,England , South Africa,,,,-,-
2008,2008/10/10,King City (NW),Canada , Pakistan, Pakistan, Pakistan,bat,35,
2008,2008/10/10,King City (NW),Sri Lanka,Zimbabwe,Sri Lanka,Sri Lanka,field,,5
2008,2008/10/11,King City (NW),Canada ,Zimbabwe,,Zimbabwe,field,-,-
2008,2008/10/11,King City (NW),Pakistan , Sri Lanka,Pakistan ,Pakistan ,field,,3
2008,2008/10/12,King City (NW),Canada , Sri Lanka, Sri Lanka, Sri Lanka,bat,15,
2008,2008/10/12,King City (NW),Pakistan , Zimbabwe,Pakistan , Zimbabwe,bat,,7
2008,2008/10/13,King City (NW),Canada,Zimbabwe,,Zimbabwe,field,109,
2008,2008/10/13,King City (NW),Pakistan , Sri Lanka, Sri Lanka, Sri Lanka,field,,5
2008,2008/11/05,Johannesburg,South Africa ,Bangladesh,South Africa ,Bangladesh,field,12,
2008,2008/12/26,Auckland,New Zealand , West Indies,,New Zealand ,bat,-,-
2008,2008/12/28,Hamilton,New Zealand ,West Indies,New Zealand ,New Zealand ,bat,36,
2009,2009/01/11,Melbourne,Australia , South Africa,Australia ,Australia ,bat,52,
2009,2009/01/13,Brisbane,Australia ,South Africa,Australia ,South Africa,bat,,6
2009,2009/02/10,Colombo (RPS),Sri Lanka ,India,India,Sri Lanka ,bat,,3
2009,2009/02/15,Sydney,Australia , New Zealand, New Zealand,Australia ,bat,1,
2009,2009/02/25,Christchurch,New Zealand , India,New Zealand ,New Zealand ,field,,7
